File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0657-0004_Citizen_Petition_Partial_Approval_and_Denial_Respo.pdf,2011-09-02,Not Mentioned,National Organization for Rare Disorders (NORD),Self-filed by National Organization for Rare Disorders (NORD),"[""21 CFR 314."", ""21 CFR 316.3(b)(10)."", ""21 U.S.C. § 505"", ""Section 740 of the Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Fiscal Year 2010 Appropriations Act (Public Law 111-80)"", ""Section 526(a)(2) of the FD&C Act""]",Guidance on internal standards for review of articles for rare diseases,"Issue guidance that acknowledges differences in clinical trials and FDA review processes for orphan drugs compared to common conditions, provide special flexibility in regulatory review, and make training course mandatory for reviewers",To address the unique challenges faced by sponsors developing treatments for rare diseases,Complete,95.7%,None
FDA-2011-P-0660-0001_RegulatoryPro_com___Citizen_Petition.pdf,2011-08-31,Not Mentioned,RegulatoryPro.com,"Filed by Robert J. Michalik, Esq., RAC on behalf of RegulatoryPro.com","[""21 CFR 878.4490"", ""21 U.S.C. § 360c"", ""21 U.S.C. § 371""]",Reclassification process for absorbable hemostatic devices,Complete the reclassification process from Class III to Class II and issue a final Special Control Guidance Document,"Market understanding of risks, benefits, and limitations; panel recommendation; regulatory policy change",Complete,94.0%,None
FDA-2011-P-0662-0001_AstraZeneca_Pharmaceuticals_LP___Citizen_Petition.pdf,2011-09-02,Not Mentioned,AstraZeneca Pharmaceuticals LP,Filed by Covington & Burling LLP on behalf of AstraZeneca Pharmaceuticals LP,"[""21 CFR 10.30"", ""Section 505(j) of the FD&C Act""]",Approval process for quetiapine ANDA applications,Not approve any quetiapine ANDA if proposed labeling omits information required by FDA in Seroquel's labeling,Omitting protected information would be inconsistent with FDA regulations and could lead to arbitrary and capricious agency action,Complete,93.0%,None
FDA-2011-P-0663-0001_AstraZeneca_Pharmaceuticals_LP___Citizen_Petition.pdf,2011-09-02,Not Mentioned,AstraZeneca Pharmaceuticals LP,Filed by Covington & Burling LLP on behalf of AstraZeneca Pharmaceuticals LP,"[""21 CFR 314.94(a)(8)(iv)"", ""21 U.S.C. § 355(q)(1)(H)"", ""Section 505(j) of the FD&C Act""]",Generic drug approval process,Not approve any quetiapine abbreviated new drug application (ANDA) for which Seroquel XR is the reference listed drug if the proposed labeling omits information relevant to prescribing the drug to treat schizophrenia and that FDA required AstraZeneca to include in the labeling for Seroquel XR,"Current ANDA applications omit important information related to treating schizophrenia, violating statutory requirements",Complete,95.2%,None
FDA-2011-P-0701-0001_KVK_Tech__Inc____Citizen_Petition.pdf,2011-09-22,Not Mentioned,"KVK-Tech, Inc.","Self-filed by KVK-Tech, Inc.","[""21 CFR 314.122"", ""21 CFR 25.31(a)"", ""21 CFR 314.54"", ""Section 505(j) of the FD&C Act""]",Relisting petition for NDA NO12737,"Determine whether Wilpro® Tablets (NDA NO12737) were withdrawn from sale for reasons of safety or effectiveness and if not, to relist NDA NO12737.","To the knowledge of the petitioner, Sandoz voluntarily withdrew Wilpro® Tablets but no information was found indicating withdrawal due to safety or efficacy concerns.",Complete,92.8%,None
FDA-2011-P-0709-0001_Jennifer_Kuzdzal_Citizen_Petition1.pdf,2021-09-21,Not Mentioned,Jennifer Kuzdzal (individual petitioner),Self-filed by Jennifer Kuzdzal,"[""Food Allergen Labeling and Consumer Protection Act""]",Requirement of information regarding allergenic substances in food labeling,Amend regulation to require 'may contain' and/or 'manufactured in a facility with (allergen)' statements on product labels,Current lack of such statements poses significant health risks to individuals with food allergies,Incomplete,47.0%,Date of Petition; Identity of Submitting Entity; Cited Statutes or Regulations
FDA-2011-P-0717-0001_Cooley_LLP___Citizen_Petition.pdf,2011-09-29,Not Mentioned,Cooley (Law Firm),Filed by Cooley; client not disclosed in document,"[""21 CFR 10.30"", ""21 CFR 201.57(c)(1)"", ""21 CFR 300.50"", ""21 CFR 25.30(h)"", ""Section 505(b) of the FD&C Act""]","Approval process for new drug applications (NDAs) containing sodium picosulfate, magnesium oxide and citric acid",Refrain from approving NDAs or require boxed warning if approved,Clinical trial data indicates heightened risks of electrolyte imbalance and ischemic colitis; safety concerns raised by Australian TGA,Mostly Complete,72.1%,Identity of Submitting Entity
FDA-2011-P-0717-0004_FDA_CDER_to_Cooley_LLP_Petition_Partial_Appoval_an.pdf,2011-09-29,Not Mentioned,Ferring Pharmaceuticals Inc.,Self-filed by Ferring Pharmaceuticals Inc.,"[""21 CFR 314.50(d)(5)(v)"", ""21 CFR 314.50(d)(5)(viii)"", ""21 CFR 201.57(c)(7)"", ""Section 505(b) of the FD&C Act""]",Approval of Prepopik (NDA 202535),"Refrain from approving any NDA containing sodium picosulfate, magnesium oxide, and citric acid for bowel cleansing or require a boxed warning if approval is granted",Heightened risks of electrolyte imbalance and ischemic colitis posed by the formulation,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0723-0788_Citizen_Petition_Denial_Response_from_FDA_CFSAN_to.pdf,Not Mentioned,Not Mentioned,Center for Food Safety,"Filed by Andrew Kimbrell, Executive Director of Center for Food Safety","[""21 CFR 10.30(e)(3)"", ""21 U.S.C. § 321(n)"", ""21 U.S.C. § 342(a)(1)"", ""21 U.S.C. § 348(b)(1)""]",Labeling requirements for genetically engineered foods,Require labeling of all foods produced using genetic engineering and revisit interpretation of 'material' facts under section 201(n) of the FD&C Act,"Consumer interest in knowing whether food has been produced with genetic engineering, and evidence suggesting that genetic engineering constitutes a material fact",Complete,96.6%,None
FDA-2011-P-0727-0001_12TH_Man_Technologies___Citizen_Petition.pdf,2011-10-04,Not Mentioned,Twelfth Man Technologies LLC,Self-filed by Twelfth Man Technologies LLC,"[""21 CFR 10.30"", ""FD&C Act Section 505(A)""]",Pediatric exclusivity grant for INOmax (Nitric Oxide Gas),Revoke the pediatric exclusivity grant to INO Therapeutics,The results of studies conducted do not meet statutory requirements and were completed prior to FDA request.,Complete,75.8%,Identity of Submitting Entity
FDA-2011-P-0727-0005_FDA_CDER_to_12TH_Man_Technologies_Petition_Denial.pdf,2011-10-06,Not Mentioned,Man Technologies,"Self-filed by Man Technologies through Alex Stenzler, President","[""21 CFR 314.108"", ""21 U.S.C. § 505A"", ""Section 505A of the FD&C Act""]",Granting pediatric exclusivity to INOMax,Revoke the grant of pediatric exclusivity for INOMax,The submitted pediatric studies did not result in approval for a new patient population and do not meet the requirements for obtaining three-year Hatch-Waxman exclusivity,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0728-0001_WraSer_Pharmaceuticals__LLC___Cititzen_Petition.pdf,2011-10-05,Not Mentioned,"WraSer Pharmaceuticals, LLC","Self-filed by WraSer Pharmaceuticals, LLC through Heath Wray, President and CEO","[""21 CFR 314.93"", ""21 CFR 314.93(b)"", ""21 CFR 10.30(b)"", ""21 CFR 25.31(a)""]",Acetaminophen reformulation requirements,"Grant permission to file an ANDA for a drug product with reduced acetaminophen content (Acetaminophen, Caffeine, Dihydrocodeine Bitartrate Capsules, 320.5 mg / 30 mg / 16 mg)",Compliance with FDA's requirement to reformulate prescription drug products containing more than 325 mg of acetaminophen per dosage unit within three years,Complete,96.0%,None
FDA-2011-P-0728-0003_WraSer_Pharmaceuticals__LLC_Petition_Approval.pdf,2011-10-06,Not Mentioned,"WraSer Pharmaceuticals, LLC","Self-filed by WraSer Pharmaceuticals, LLC","[""Section 505G)(2)(C) of the FD&C Act"", ""21 U.S.C. § 355""]",Permission to file an ANDA for a drug product with changed strength,"Approve petition to allow filing of ANDA for Acetaminophen, Caffeine, and Dihydrocodeine Bitartrate Capsules at the new strength",Change in strength does not pose questions of safety or effectiveness,Complete,87.9%,None
FDA-2011-P-0734-0001_Richard_J__Miller___Citizen_Petition.pdf,2011-10-03,Not Mentioned,"Generic Pharmaceutical Services, Inc.","Self-filed by Generic Pharmaceutical Services, Inc.","[""21 CFR 10.30"", ""21 CFR 211.170(b)"", ""21 CFR 207.3(a)(8)"", ""21 CFR 210(b)(12)""]",Unauthorized sale of repackaged products,"Take action against Generic Pharmaceutical Services, Inc. to cease and desist unauthorized repackaging activities",Failure to adhere to CGMP requirements and stability testing guidelines creates significant concerns over product quality and safety,Complete,96.1%,None
FDA-2011-P-0734-0003_FDA_CDER_Response_to_Richard_J_Miller___Petition_D.pdf,2011-10-03,Not Mentioned,"Generic Pharmaceutical Services, Inc. (GPSI)","Self-filed by Generic Pharmaceutical Services, Inc. (GPSI); no representation mentioned in document","[""21 CFR 211.170(b)"", ""21 CFR part 211"", ""21 CFR 10.30(k)""]",Unauthorized sale of repackaged products not adhering to CGMPs,Conduct a review and take enforcement action against GPSI for failure to adhere to repackaging requirements,"GPSI's failure to comply with these requirements has led to the illegal sale of adulterated products, false and misleading advertisement",Complete,93.8%,None
FDA-2011-P-0740-0001_Allan_M__Green__M_D___LLC__Citizen_Petition.pdf,2011-10-09,Not Mentioned,"Allan M. Green, MD, PhD, JD LLC","Self-filed by Allan M. Green, MD, PhD, JD LLC","[""21 CFR 314.93"", ""21 CFR 10.20"", ""21 CFR 10.25"", ""21 CFR 10.30(b)"", ""21 U.S.C. § 355(j)(2)(A)(ii)(l)"", ""21 U.S.C. § 355(j)(2)(C)""]",Approval process for ANDA submission and pediatric studies waiver,Allow submission of an Abbreviated New Drug Application (ANDA) for allopurinol liquid suspension and waive pediatric studies requirement,"The proposed drug product is a liquid form of allopurinol, which offers convenience to patients. There is no meaningful therapeutic benefit over existing therapies in the pediatric population, and conducting additional studies would contribute little to clinical knowledge.",Complete,94.4%,None
FDA-2011-P-0741-0006_Partial_Petition_Approval_and_Denial_Response_Lett.pdf,2011-10-11,Not Mentioned,Public Citizen,Self-filed by Public Citizen,"[""21 CFR 201.50"", ""21 CFR 201.57(c)(6)(i)"", ""21 CFR 201.57(c)(8)(i)"", ""21 U.S.C. § 355(0)(4)""]",Labeling and safety information for proton pump inhibitors (PPIs),"Add boxed warnings and other safety information to the labels of all PPI products, require distribution of Medication Guides, and send Dear Doctor letters","To address risks associated with long-term use of PPIs including Clostridium difficile-associated diarrhea, drug-drug interactions, vitamin B12 deficiency, acute interstitial nephritis, bone fractures, community-acquired pneumonia, and magnesium deficiency",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0756-0001_Lupin_Pharmaceuticals_Inc_Citizen_Petition.pdf,2011-10-14,Not Mentioned,"Lupin Pharmaceuticals, Inc.","Self-filed by Lupin Pharmaceuticals, Inc. through regulatory affairs department","[""21 CFR 10.25"", ""21 CFR 10.30(b)"", ""21 CFR 25.31."", ""21 CFR 314.161"", ""21 CFR 314.161(a)(1))"", ""21 CFR 314.162(a))""]","Discontinuation of PREZISTA® (Darunavir) Tablets, 300 mg from the Orange Book","Determine whether Tibotec's decision to discontinue marketing of its PREZISTA® (Darunavir) Tablets, 300 mg was for reasons of safety or effectiveness and if ANDAs are eligible for approval",Lupin believes that the product has been discontinued for commercial reasons unrelated to safety or efficacy,Complete,95.5%,None
FDA-2011-P-0767-0001_Somaxon_Pharmaceuticals__Inc____Citizen_Petition.pdf,2011-10-20,Not Mentioned,"Somaxon Pharmaceuticals, Inc.","Self-filed by Somaxon Pharmaceuticals, Inc. through technical operations department","[""21 U.S.C. § 355(j)(2)(A)(iv)"", ""21 CFR 355(j)(2)(A)(iv)"", ""21 CFR 10.30"", ""21 CFR 320.21(b)""]",Generic drug approval process for SILENOR®,Decline to grant any ANDA for a generic doxepin product listing SILENOR as the Reference Listed Drug if it relies on a BCS-biowaiver; Require two in vivo bioequivalence studies under both fasted and fed conditions with additional partial AUC requirements,Doxepin's low absolute bioavailability and significant food effect make BCS classification unreliable as a predictor of bioequivalence,Complete,97.4%,None
FDA-2011-P-0785-0007_Citizen_Petition_Partial_Approval_and_Denial_Respo.pdf,2011-10-28,Not Mentioned,Public Citizen,Self-filed by Public Citizen,"[""21 CFR 201.57(c)(6)(i)"", ""21 CFR 201.80(e)"", ""21 CFR 201.57(a)""]",Labeling and distribution requirements for Tygacil,"[""Add a 'black box' warning to the label for Tygacil indicating increased risk of death compared to other antibiotics and restricted use as last-resort antibiotic."", ""Distribute an FDA-approved patient Medication Guide about increased risk of death and need for restricted use."", ""Require Pfizer to distribute a Dear Doctor letter alerting physicians to adverse effect warning and the need for restricted use.""]","[""Information about increased mortality associated with Tygacil should be presented as a boxed warning on the label."", ""The distribution of an FDA-approved patient Medication Guide would help educate patients about risks and benefits."", ""A Dear Doctor letter from Pfizer is necessary to alert physicians to the need for restricted use.""]",Complete,94.2%,None
FDA-2011-P-0798-0001_Dr_S_Albert_Edwards__Citizen_Petition.pdf,2011-10-27,Not Mentioned,Solutions Inc,Self-filed by Solutions Inc,"[""21 CFR 5.10"", ""21 CFR 25.34""]",Periodic Meetings for Software Vendors with OBPS regarding eCTD to RPS transition,"Institute periodic meetings staffed by FDA's OBPS and Global Submit, Inc., providing current information on the transition from eCTD to RPS, announced through Federal Register",To level the playing field among software vendors competing in the US market for eCTD business,Complete,91.8%,None
FDA-2011-P-0801-0001_Holland_and_Knight_LLP___Citizen_Petition.pdf,2011-11-01,Not Mentioned,Celgene Corporation,Filed by Holland & Knight LLP on behalf of Celgene Corporation,"[""21 CFR 10.30"", ""21 CFR 25.31"", ""21 U.S.C. § 353(b)"", ""42 U.S.C. § 2621"", ""FDCA § 505-1(a)(2)"", ""FDCA § 505-1(f)""]",Interstate distribution of drugs intended for research use only,Clarify FDA regulations and policies regarding REMS applicability to Research Materials; agree not to take enforcement actions against manufacturers/sellers of such materials,Sales of Research Materials do not put patient health at risk and are essential for non-clinical research,Complete,96.2%,None
FDA-2011-P-0818-0001_Jubilant_HollisterStier_LLC__Citizen_Petition.pdf,2011-11-09,Not Mentioned,Jubilant HollisterStier LLC,Self-filed by Jubilant HollisterStier LLC through regulatory affairs department,"[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314.93"", ""21 CFR 505(j)(2)(c)"", ""Section 505 of the FD&C Act""]",Suitability petition for variations in fill volumes (strengths) for vials of Water for Injection USP,"Declare that Water for Injection, USP in any volume in a vial size previously approved under an RLD or petition is suitable for submission as an abbreviated new drug application (ANDA)",The proposed change in fill volume does not alter the product concentration and maintains safety and efficacy of the reference listed drug.,Complete,96.9%,None
FDA-2011-P-0818-0005_Petition_Approval_Letter.pdf,2011-11-10,Not Mentioned,"Jubilant HollisterStier, LLC","Self-filed by Jubilant HollisterStier, LLC","[""21 CFR 314.93"", ""21 CFR 314.93(e)(1)"", ""21 CFR 314.94(a)(3)(iii)"", ""Section 505(j)(2)(C) of the FD&C Act""]",Petition for ANDA approval,Approve petition to submit an ANDA for Sterile Water for Injection USP in various strengths,Proposed change in strength does not pose questions of safety or effectiveness and meets bioequivalence requirements,Complete,93.8%,None
FDA-2011-P-0820-0001_G_Scott_Crowther_PE_Citizen_Petition.pdf,2011-11-08,Not Mentioned,"G. Scott Crowther, PE","Self-filed by G. Scott Crowther, PE","[""21 CFR Part 872.3070""]",Dental amalgam and its constituents (mercury and amalgam alloy) distribution regulation,Ban the dental amalgam and its constituents (mercury and amalgam alloy),"Based on recalculated daily dose of mercury from amalgams using standard federal assumption, which is significantly higher than current estimates; environmental health concerns",Complete,95.1%,None
FDA-2011-P-0821-0001_Lachman_Consultant_Services_Inc_Citizen_Petition.pdf,2011-11-10,Not Mentioned,"Spectrum Pharmaceuticals, Inc.","Filed by Lachman Consultant Services, Inc. on behalf of Spectrum Pharmaceuticals, Inc.","[""21 CFR 10.30"", ""21 CFR 25.31""]",ANDA approval process,"Declare that Levoleucovorin Calcium Injection, 10 mg/mL (50 mg/5 mL) is suitable for submission as an ANDA",The proposed product differs only in total drug content from the listed reference drug product and provides greater flexibility and ease of administration.,Complete,89.7%,None
FDA-2011-P-0822-0001_Lupin_Pharmaceuticals_Inc__Citizen_Petition.pdf,2011-11-10,Not Mentioned,"Lupin Pharmaceuticals, Inc.","Self-filed by Lupin Pharmaceuticals, Inc. through regulatory affairs department","[""21 CFR 10.25"", ""21 CFR 10.30(b)"", ""21 CFR 25.31."", ""21 CFR 314.161"", ""21 CFR 314.161(a)(1))"", ""21 CFR 314.162(a))""]","Discontinuation of AVALIDE (Irbesartan-Hydrochlorothiazide) Tablets, 300 mg/25 mg",Determine whether Sanofi Aventis discontinued its AVALIDE for reasons unrelated to safety and efficacy; ANDAs eligible for approval if all other legal and regulatory requirements are met.,"The product was removed from the Approved Prescription Drug Product Section of the Orange Book, but Lupin believes it was discontinued for commercial reasons rather than safety or effectiveness issues.",Complete,94.3%,None
FDA-2011-P-0823-0001_AstraZeneca_Pharmaceuticals_LP__Citizen_Petition.pdf,2011-11-14,Not Mentioned,AstraZeneca Pharmaceuticals LP,Filed by Covington & Burling LLP on behalf of AstraZeneca Pharmaceuticals LP,"[""21 CFR 10.30"", ""21 U.S.C. § 355(q)(1)(H)"", ""Section 505(j) and 505(b) of the Federal Food, Drug, and Cosmetic Act""]",Approval process for rosuvastatin calcium ANDA and 505(b)(2) applications,Not approve any rosuvastatin calcium ANDA or 505(b)(2) application if the proposed labeling omits diabetes related warning and adverse reaction information based on JUPITER trial data,"Omitting the diabetes-related warnings would constitute disparate treatment of functionally indistinguishable products, violating principles of rational basis and arbitrary and capricious agency action",Complete,97.9%,None
FDA-2011-P-0840-0001_Perrigo_Company_Citizen_Petition.pdf,2011-11-17,Not Mentioned,Perrigo Company,"Self-filed by Perrigo Company through Richard J. Stec, Jr., Ph.D.","[""21 CFR ."", ""21 CFR 25."", ""21 CFR 25.31(a)"", ""5 U.S.C. § ."", ""5 U.S.C. § 553(b)."", ""Section 505(q) of the FD&C Act""]",Generic drug approval process,"Refuse to receive, or otherwise rescind its receipt of any Abbreviated New Drug Application (ANDA) for a generic version of Prevacid24HR (lansoprazole) Capsules, 15mg, which is approved under NDA No. 022327 for Over-the-Counter use if the initial submission relies on bioequivalence studies conducted using prescription Prevacid (lansoprazole) Delayed-Release Capsules, 15 mg; Initiate notice-and-comment rulemaking with respect to any change in Agency policy concerning the acceptance of an ANDA for an OTC drug that does not contain bioequivalence data and information from studies conducted on the OTC Reference Listed Drug (RLD), but rather on a different listed drug","Current FDA/OGD Policy permits use of prescription version for demonstrating bioequivalence, which Perrigo believes is inappropriate given differences in drug status",Complete,96.3%,None
FDA-2011-P-0840-0003_FDA_CDER_to_Perrigo_Company_Petition_Denial.pdf,2011-11-17,Not Mentioned,Perrigo Company,Self-filed by Perrigo Company through Global Regulatory Affairs department,"[""21 CFR 320.1"", ""21 CFR 320.21(b)(l)"", ""21 CFR 320.24(b)(6)""]",Policy on bioequivalence studies for ANDA submissions,"Refuse to receive or rescind receipt of any ANDA for lansoprazole capsules, 15 mg, if the initial submission relies on bioequivalence studies conducted using prescription Prevacid; initiate notice-and-comment rulemaking concerning policy changes regarding acceptance of ANDAs without OTC RLD data",Belief that FDA's current policy allowing use of prescription version to demonstrate bioequivalence is contrary to law and other FDA policies,Complete,95.4%,None
FDA-2011-P-0846-0001_Citizen_Petition_from_Jubilant_HollisterStier__For.pdf,2011-11-09,Not Mentioned,Jubilant HollisterStier LLC,Self-filed by Jubilant HollisterStier LLC through regulatory affairs department,"[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314.93"", ""Section 505(j)(2)(c) of the FD&C Act""]",Suitability petition for variations in fill volumes and pH adjusting excipients,Declare that 0.9% Sodium Chloride Injection USP in any volume previously approved under a RLD or petition is suitable for submission as an ANDA; Remove hydrochloric acid and sodium hydroxide from the labeling as suitable changes for submission as an ANDA,"The proposed product does not change the strength of the drug due to fill volume variations, nor would it affect safety or efficacy. The removal of pH adjusting excipients is unnecessary in most manufacturing situations.",Complete,96.1%,None
FDA-2011-P-0852-0001_Dr_S_Albert_Edwards___Citizen_Petition.pdf,2011-11-17,Not Mentioned,The undersigned (individual petitioner),Self-filed by the individual submitting this petition,"[""21 CFR 314"", ""21 CFR 5.10"", ""21 CFR 25.34""]",Issuing NDC Codes for unapproved drug products,"Stop issuing NDC Codes to new and existing unapproved drug products, with a phased approach over three years",Eliminating financial incentives for marketing unapproved drugs and protecting public health,Mostly Complete,69.9%,Identity of Submitting Entity
FDA-2011-P-0852-0004_FDA_CDER_Response_to_Dr_S_Albert_Edwards_Petition_.pdf,2011-11-21,Not Mentioned,"Dr. S. Albert Edwards, PharmD, RAC, FRAPS (individual petitioner)","Self-filed by Dr. S. Albert Edwards, PharmD, RAC, FRAPS","[""21 CFR 207.39"", ""21 CFR 314.126"", ""21 U.S.C. § 505(i)"", ""21 U.S.C. § 107""]",Issuing national drug codes (NDCs) for unapproved drug products,Cease issuing NDCs for unapproved drugs and impose sanctions on protesting firms,"Unapproved drugs pose public health risks, and current system facilitates illegal marketing",Complete,95.2%,None
FDA-2011-P-0869-0001_Hyman_Phelps_and_McNamara_PC__Citizen_Petition.pdf,2011-12-02,Not Mentioned,"Hyman, Phelps & McNamara, P.C.","Filed by Hyman, Phelps & McNamara, P.C.; client not disclosed in document","[""21 CFR 314.50"", ""21 CFR 314.93"", ""21 CFR 320.1(c)"", ""21 U.S.C. § 355""]",Approval process for buprenorphine/naloxone drug products,Refuse to file or approve any 505(b)(2) NDA for a buprenorphine/naloxone drug product unless it references the sublingual film formulation in NDA #22-410 and demonstrates appropriate limits on genotoxic impurities,Ensuring consistency with existing approvals and maintaining safety standards,Complete,86.8%,None
FDA-2011-P-0884-0001_Lenard_Thylan___Citizen_Petition.pdf,2011-12-02,Not Mentioned,Lenard Thylan (individual petitioner),Self-filed by Lenard Thylan,"[""21 CFR 5.10"", ""21 U.S.C. § 301-399a""]",Unapproved drug campaign and grandfather status for Mebaral,"Refrain from taking administrative action against the manufacture and sale of Lundbeck's Mebaral, refrain from requiring a new drug application or substantiation of continued grandfather status, remove Mebaral from the unapproved drug campaign",Health and safety concerns for patients relying on Mebaral with no comparable alternative,Complete,75.8%,Identity of Submitting Entity
FDA-2011-P-0884-0003_FDA_CDER_to_Lenard_Thylan__Petition_Denial.pdf,2011-12-06,Not Mentioned,Lenard Thylan (individual petitioner),Self-filed by Lenard Thylan,"[""21 CFR 314.200(e)(5)."", ""21 CFR 314.200(e)."", ""21 U.S.C. § 321(p)"", ""21 U.S.C. § 355(a)""]",Unapproved drug campaign and requirements for new drug approval,"Refrain from taking administrative action against the manufacture and sale of Mebaral, refrain from requiring Lundbeck to file a new drug application or substantiate continued grandfather status, and remove Mebaral from FDA's unapproved drug campaign.",Concerns about transitioning medical therapy due to discontinuation of Mebaral by Lundbeck,Complete,80.0%,Identity of Submitting Entity
FDA-2011-P-0888-0001_Foley___Lardner_LLP___Citizen_Petition.pdf,2011-12-07,Not Mentioned,Novartis,Filed by Foley & Lardner LLP on behalf of Novartis,"[""21 CFR 10.30"", ""21 CFR 314.93"", ""21 CFR 314.161"", ""Section 505(j)(2)(C) of the FD&C Act""]","Discontinued status of Fundescein-25, Fluorescein Sodium Injection 25%",Determine whether Fundescein-25 was voluntarily withdrawn for safety or effectiveness reasons,To facilitate ANDA approval by confirming the discontinued reference listed drug was not withdrawn due to safety or effectiveness issues,Complete,92.6%,None
FDA-2011-P-0913-0001_KVKTech_Inc__Citizen_Petition.pdf,2011-12-15,Not Mentioned,KVK-Tech Inc.,Self-filed by KVK-Tech Inc.,"[""21 CFR 314.93""]",Suitability petition for packaging change,Expedite review of suitability petition,Improved accuracy and ease of dispensing in a hospital setting,Complete,95.0%,None
FDA-2011-P-0913-0004_FDA_CDER_Response_to_KVKTech_Inc_Petition_Approval.pdf,2011-12-16,Not Mentioned,"KVK-Tech, Inc.","Self-filed by KVK-Tech, Inc.","[""Section 505(j)(2)(C) of the FD&C Act"", ""Federal Food, Drug, and Cosmetic Act""]",Permission to file an Abbreviated New Drug Application (ANDA),Approve petition for filing ANDA with a different strength,Change in drug content does not pose questions of safety or effectiveness,Complete,91.7%,None
FDA-2011-P-0924-0001_Atavis_Inc_Citizen_Petition.pdf,2011-12-14,Not Mentioned,Actavis Inc.,Self-filed by Actavis Inc. through Regulatory and Medical Affairs department,"[""21 CFR 10.30"", ""21 CFR 314.161"", ""21 CFR 314.122""]",Determination of voluntary withdrawal for safety or efficacy reasons,Determine that OPANA® (oxymorphone hydrochloride) Extended-Release Tablets were not voluntarily withdrawn for safety or efficacy reasons,There is no evidence of commercial distribution and FDA's previous determination that never marketing an approved product is equivalent to withdrawing the drug from sale.,Complete,94.3%,None
